utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_1,tier_2,tier_3,tier_4,tier_5,tier_6,tier_7,tier_8,tier_prices,tier_1_price,tier_2_price,tier_3_price,tier_4_price,tier_5_price,tier_6_price,tier_7_price,tier_8_price,median_income_category,approximate_median_income,check,bill_frequency_update
Chino Hills  City Of,CA3610036,2017-07-01,Monthly,converted to kgal,13.4807349624706,2.96999686534414,4.48848454545455,Budget,29.54,30.44,59.98,0-indoor-100%,0,NA,NA,NA,NA,NA,NA,NA,NA,2.09-2.37-3.31,1.56342868,1.7728832400000003,2.4760521200000003,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,1,Monthly
Citrus Heights Water District,CA3410006,2017-11-08,Bi-Monthly,converted to kgal,14,2.45848273639257,8.7573135,Uniform,23.76,7.12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0167,0.7605444684,NA,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
City of Bakersfield,NA,2017-06-01,monthly,converted to kgal,15,3,4,Uniform,9.88,14.1,23.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,0.70316888,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Monthly
City of Gonzales,CA2710007,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,0,27.3,27.3,0-26-31-51,0,19.449352,23.189612,38.150652,NA,NA,NA,NA,NA,1.82-1.89-2.07-2.29,1.36145464,1.41381828,1.54846764,1.7130390800000002,NA,NA,NA,NA,NA,NA,1,Monthly
City of Lindsay,CA5410006,2009-01-01,Monthly,converted to kgal,15,3,4,Uniform,19.97,15.3,35.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,0.76301304,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
City of North Las Vegas Utility,NA(NEVADA),2016-10-01,Monthly,converted to kgal,15,3,4,Tiered,10.64,24.24,34.88,0-7-16-25,0,7,16,25,NA,NA,NA,NA,NA,1.9-2.46-3.2-4.14,1.9,2.46,3.2,4.14,NA,NA,NA,NA,NA,NA,1,Monthly
City of Oceanside,CA3710014,2017-01-01,Monthly,converted to kgal,8.07529544764336,2.58848781766643,4.47429204545455,Tiered,15.2,19.78,34.98,0-14,0,10.472728,NA,NA,NA,NA,NA,NA,NA,2.45-3.06,1.8327274000000002,2.28903912,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
City of Tehama,CA5200504,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,31.2,0.46,31.66,0-11-21-31,0,11,21,31,NA,NA,NA,NA,NA,0-0.38-0.5-0.63,0,0.38,0.5,0.63,NA,NA,NA,NA,NA,NA,0,Monthly
City of Vacaville,CA4810008,2016-01-01,Bi-Monthly,converted to kgal,12,2.64795242141037,9.13956522727273,Uniform,19.6,10,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,1.24924684,NA,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
City of Winters,CA5710005,2015-09-01,Monthly,converted to kgal,15,3,4,Uniform,20.03,29.4,49.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,1.4661819200000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Clovis  City Of,CA1010003,2017-01-07,Bi-Monthly,converted to kgal,16,2.75724107463346,9.98790545454546,Tiered,10.93,5.615,11.08,0-23-40,0,11.5,20,NA,NA,NA,NA,NA,NA,0.89-1.49-1.83,0.89,1.49,1.83,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Coachella  City Of,CA3310007,2017-07-01,Monthly,converted to kgal,12.9377903394302,3.44896099161502,5.97187380952381,Tiered,13.8,19.41,33.21,0-41,0,30.670132000000002,NA,NA,NA,NA,NA,NA,NA,1.5-1.65,1.1220780000000001,1.2342858,NA,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,1,Monthly
Coachella Valley Water District,CA3310001,2016-08-01,Monthly,converted to kgal,19.5866534472944,2.36285720967214,6.23946818181818,Budget,6.92,29.23,36.15,0-indoor-100%-175%-300%,0,NA,NA,NA,NA,NA,NA,NA,NA,0.95-1.32-2.46-4.67-6.13,0.7106494,0.9874286400000001,1.84020792,3.4934028400000003,4.5855587600000005,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Coalinga City of,CA1010004,2014-07-01,Monthly,converted to kgal,16,2.98926043446424,5.71229971428571,Tiered,20.83,19.56,40.39,0-10-30,0,10,30,NA,NA,NA,NA,NA,NA,1.56-1.91-2.32,1.56,1.91,2.32,NA,NA,NA,NA,NA,"$45,000 to $49,999",47500,0,Monthly
Coastside County Water District,CA4110011,2017-07-01,Bi-Monthly,converted to kgal,5,2.39410272669626,7.65995772727273,Tiered,39.23,28.71,48.32,0-4-16-30,0,1.496104,5.984416,11.220780000000001,NA,NA,NA,NA,NA,9.65-10.77-13.89-18.41,7.218701800000001,8.05652004,10.39044228,13.771637320000002,NA,NA,NA,NA,"$100,000 to $124,999",112500,0,Monthly
Colton  City Of,CA3610014,2017-07-01,Monthly,converted to kgal,11.8448914435333,3.0394401108114,5.01780829268293,Tiered,25.29,19.43,44.72,0-18,0,13.464936000000002,NA,NA,NA,NA,NA,NA,NA,1.64-2.39,1.22680528,1.7878442800000003,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,0,Monthly
Compton City of,CA1910026,2014-07-01,Monthly,converted to kgal,8.00182389311575,3.58282957129388,4.47779263157895,Tiered,30.54,21.36,51.9,0-20,0,14.96104,NA,NA,NA,NA,NA,NA,NA,2.67-3.09,1.99729884,2.31148068,NA,NA,NA,NA,NA,NA,"$45,000 to $49,999",47500,1,Monthly
Contra Costa Water District,CA0710003,2017-09-05,Bi-Monthly,converted to kgal,10,2.58126149713912,8.72608454545455,Tiered,8.97,18.695,23.18,0-40,0,14.96104,NA,NA,NA,NA,NA,NA,NA,3.91-7.82,2.92488332,5.84976664,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Corcoran  City Of,CA1610004,2018-04-01,Monthly,converted to kgal,21.619614435696,3.24050632911392,4.93371341463415,Uniform,27,35.89,62.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,1.24176632,NA,NA,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,1,Monthly
Corona City Of,CA3310037,2014-02-01,monthly,converted to kgal,13.0922143439786,2.99144359369065,4.71083159090909,Budget,25.23,27.49,52.72,0-indoor-101%-121%-140%,0,NA,NA,NA,NA,NA,NA,NA,NA,2.1-2.33-3.17-6.35-11.64,1.5709092000000002,1.7429611600000001,2.37132484,4.7501302,8.707325280000001,NA,NA,NA,NA,NA,0,Monthly
Covina  City Of,CA1910127,2015-07-01,Monthly,converted to kgal,12.7378367913449,2.92428819921267,4.32241171052632,Tiered,33.24,34.52,67.76,0-16,0,11.968832,NA,NA,NA,NA,NA,NA,NA,2.71-3.02,2.02722092,2.25911704,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Covina  City Of,CA1910127,2015-07-01,Monthly,converted to kgal,12.7378367913449,2.92428819921267,4.32241171052632,Tiered,33.24,34.52,67.76,0-16,0,11.968832,NA,NA,NA,NA,NA,NA,NA,2.71-3.02,2.02722092,2.25911704,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Crescent City,NA,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,22.49,28.82,51.31,0-5,0,3.74026,NA,NA,NA,NA,NA,NA,NA,0-2.62,0,1.9598962400000002,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Crescenta Valley Water District,CA1910028,2017-07-01,Bi-Monthly,converted to kgal,10,2.69670223084384,9.50259090909091,Tiered,23.96,20.415,32.395,0-11-27,0,5.5,13.5,NA,NA,NA,NA,NA,NA,4.58-7.21-10.89,4.58,7.21,10.89,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Crestline Village Water District,CA3610015,2017-01-01,Monthly,converted to kgal,4.30793142500219,2.13071613459879,4.84249023255814,Tiered,26.5,18.09,44.59,0-13,0,9.724676,NA,NA,NA,NA,NA,NA,NA,4.2-6.3,3.1418184000000005,4.7127276,NA,NA,NA,NA,NA,NA,"$45,000 to $49,999",47500,0,Monthly
Cucamonga Valley Water District,CA3610018,2017-07-01,Bi-Monthly,converted to kgal,14,2.86087534257952,9.44991681818182,Tiered,20.88,13.96,24.395,0-10-40-100,0,3.74026,14.96104,37.4026,NA,NA,NA,NA,NA,1.61-2.14-2.68-3.05,1.2043637200000001,1.6008312800000002,2.00477936,2.2815586,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Daly City  City of,CA4110013,2017-07-01,Bi-Monthly,converted to kgal,6,2.94875131164743,7.61205318181818,Tiered,16.45,11.34,19.565,0-14,0,5.236364,NA,NA,NA,NA,NA,NA,NA,3.62-8.28,2.7079482400000003,6.19387056,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Davis  City Of,CA5710001,2019-01-01,Monthly,converted to kgal,9.35365348943243,2.48895655335394,4.66754818181818,Uniform,13.07,46.86,59.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.01,3.7477405200000002,NA,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Del Oro Water Company - Black Butte,NA,2017-03-28,Monthly,converted to kgal,15,3,4,Uniform,24.84,19.71,45.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.314,0.9829403280000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Del Oro Water Company - Magalia,NA,2018-03-22,Monthly,converted to kgal,15,3,4,Uniform,31.67,58.95,99.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.254,5.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Monthly
Delano  City Of,CA1510005,2017-07-01,Monthly,converted to kgal,10.9176622058153,3.52735695505196,4.85881113636364,Tiered,26.78,20.99,47.77,0-5-15,0,3.74026,11.220780000000001,NA,NA,NA,NA,NA,NA,1.39-2.23-3.31,1.03979228,1.66815596,2.4760521200000003,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,1,Monthly
Desert Water Agency,CA3310005,2017-01-01,monthly,converted to kgal,12.6892616861775,1.88524217388009,5.73116318181818,Uniform,14.41,19.92,36.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,1.1744416400000002,NA,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,0,Monthly
Diablo Water District,CA0710007,2017-02-01,monthly,converted to kgal,11.7844557781547,3.20267070745336,4.72398840909091,Tiered,11.05,38.5,49.55,0-9,0,6.732468000000001,NA,NA,NA,NA,NA,NA,NA,3.19-3.43,2.38628588,2.56581836,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Dinuba  City Of,CA5410002,2017-10-01,Monthly,converted to kgal,15,3.55368552282998,4.92167046511628,Tiered,11.86,15.68,27.54,0-9,0,9,NA,NA,NA,NA,NA,NA,NA,1.187-1.922,1.187,1.922,NA,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,1,Monthly
Discovery Bay  Town Of,CA0710009,2018-01-01,Monthly,converted to kgal,12.784292711003,2.38955386289445,4.72547181818182,Uniform,18.02,25.76,43.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.015,1.5073247800000003,NA,NA,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,1,Monthly
Downey  City Of,CA1910034,2013-01-01,Bi-Monthly,converted to kgal,10,3.00364063417499,8.80798136363636,Tiered,14.23,7.845,14.96,0-16-31-70,0,5.984416,11.594806,26.181820000000002,NA,NA,NA,NA,NA,1.397-1.816-2.904-5.519,1.045028644,1.358462432,2.172343008,4.1284989880000005,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Dublin San Ramon Services District,CA0110009,2017-01-01,bimonthly,converted to kgal,8,2.8860728245217,8.53685409090909,Tiered,26.43,2.955,16.17,0-11-35,0,4.114286,13.090910000000001,NA,NA,NA,NA,NA,NA,0.55-1.16-1.55,0.41142860000000003,0.86774032,1.1594806000000002,NA,NA,NA,NA,NA,"$125,000 to $149,999",137500,0,Monthly
East Bay Municipal Utility District,CA0110005,2017-07-12,Bi-Monthly,converted to kgal,7,2.48304589508251,7.71442186363636,Tiered,22.6,14.355,25.655,0-8-17,0,2.992208,6.358442,NA,NA,NA,NA,NA,NA,3.45-4.74-6.27,2.5807794000000004,3.5457664800000006,4.69028604,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
East Niles Community Service District,CA1510006,2017-04-01,monthly,converted to kgal,23.0707417650554,3.43090346186321,5.01336840909091,Uniform,38.9,34.14,73.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,1.1071169600000001,NA,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
East Orange County Water District,CA3010068,2018-02-16,Monthly,converted to kgal,21.8303325312058,2.75402446877012,4.45087272727273,Uniform,25.35,76.41,126.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2.618182,NA,NA,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,0,Monthly
East Palo Alto  City of,CA4110024,2017-07-01,Monthly,converted to kgal,6.07330202533696,3.2717903930131,3.97836568181818,Tiered,22.6,40.97,63.57,0-6,0,4.4883120000000005,NA,NA,NA,NA,NA,NA,NA,6.3-8.82,4.7127276,6.597818640000001,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
East Valley Water District,CA3610064,2017-07-01,Monthly,converted to kgal,15.550278108385,3.13735080483265,4.93210340909091,Budget,31.32,35.94,67.26,0-indoor-100%,0,NA,NA,NA,NA,NA,NA,NA,NA,1.83-2.61-3.64,1.3689351600000002,1.95241572,2.72290928,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
El Centro  City of,CA1310004,2017-01-01,monthly,converted to kgal,11.9802450772634,2.91591984694391,6.10133068181818,Uniform,3.56,44.93,48.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2.8051950000000003,NA,NA,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,0,Monthly
El Dorado Irrigation District - Main,CA0910001,2017-01-01,bimonthly,converted to kgal,14,2.52444969714877,9.17259418181818,Tiered,29.94,11.08,26.05,0-18-45,0,6.732468000000001,16.83117,NA,NA,NA,NA,NA,NA,1.454-1.755-2.059,1.087667608,1.31283126,1.5402390680000002,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
El Monte  City Of,CA1910038,2018-01-01,Monthly,converted to kgal,7,3.27669902912621,4.45869659090909,Tiered,22.75,1.33,24.08,0-13,0,13,NA,NA,NA,NA,NA,NA,NA,0.256-0.444,0.256,0.444,NA,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,0,Monthly
El Segundo  City Of,CA1910040,2017-07-01,Monthly,converted to kgal,7.6816230557611,2.39382586542784,4.47586302325581,Tiered,10.84,20.63,31.47,0-10-20-50,0,7.48052,14.96104,37.4026,NA,NA,NA,NA,NA,2.6857-4.9428-5.6145-4.9428,2.0090432564000005,3.6974714256000003,4.199937954,3.6974714256000003,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
El Toro Water District,CA3010079,2017-07-01,Monthly,converted to kgal,7.82242918084324,2.08609087111895,4.53353636363636,Budget,20.48,20.81,41.29,0-indoor-100%-130%,0,NA,NA,NA,NA,NA,NA,NA,NA,2.52-2.91-6.08-7.82,1.88509104,2.1768313200000002,4.5481561600000004,5.84976664,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Elk Grove Water Service,CA3410008,2017-01-01,monthly,converted to kgal,10.6852709264091,2.76808224207563,4.5790055,Tiered,64.73,16.24,80.97,0-30.01,0,22.449040520000004,NA,NA,NA,NA,NA,NA,NA,1.52-3.02,1.1370390400000001,2.25911704,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,1,Monthly
Elsinore Valley Municipal Water District,CA3310012,2017-07-01,Monthly,converted to kgal,12.6854364298878,3.11101217755663,4.984865,Budget,23.77,33.39,57.16,0-indoor-100%-130%,0,NA,NA,NA,NA,NA,NA,NA,NA,2.29-2.78-5.05-7.48,1.7130390800000002,2.07958456,3.7776626,5.5954289600000005,NA,NA,NA,NA,"$60,000 to $74,999",67500,1,Monthly
Escondido City of,CA3710006,2016-03-01,monthly,converted to kgal,9.61566591545839,3.10986103931645,4.49177951219512,Tiered,30.11,53.2,83.31,0-9.36-20.05,0,7.00176672,14.998442600000002,NA,NA,NA,NA,NA,NA,5.33-6.88-8.75,3.9871171600000004,5.146597760000001,6.5454550000000005,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Estero Municipal Improvement District,CA4110021,2017-07-01,Bi-Monthly,converted to kgal,6,2.41517052419064,7.80718818181818,Tiered,9.93,15.92,20.88,0-20,0,7.48052,NA,NA,NA,NA,NA,NA,NA,5.03-6.06,3.7627015600000004,4.53319512,NA,NA,NA,NA,NA,NA,"$125,000 to $149,999",137500,0,Monthly
Eureka  City Of,CA1210004,2017-07-01,Monthly,converted to kgal,5.48912815459122,2.16815878378378,4.28650322727273,Uniform,25.15,11.8,36.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,1.6083118,NA,NA,NA,NA,NA,NA,NA,"$35,000 to $39,999",37500,1,Monthly
Exeter  City Of,CA5410003,2018-01-01,Monthly,converted to kgal,17.999842964637,3.337822671156,4.82010675675676,Tiered,23.55,5.88,29.43,0-15,0,11.220780000000001,NA,NA,NA,NA,NA,NA,NA,0-1.47,0,1.09963644,NA,NA,NA,NA,NA,NA,"$25,000 to $29,999",27500,0,Monthly
Fair Oaks Water District,CA3410009,2018-01-01,Bi-Monthly,converted to kgal,17,2.45182310733636,8.58890813636364,Uniform,35.8,4.15,22.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.374026,NA,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Fairfield  City Of,CA4810003,2018-01-01,Monthly,converted to kgal,9.25476596238823,2.81388702084734,4.23734809090909,Uniform,25.8,20.18,45.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1.6307533600000002,NA,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Fallbrook Public Utility District,CA3710008,2018-01-01,Monthly,converted to kgal,11.1923525560077,2.7961215932914,4.79482340909091,Tiered,57.95,63.46,121.41,0-6-31,0,4.4883120000000005,23.189612,NA,NA,NA,NA,NA,NA,5.62-5.71-6.95,4.20405224,4.271376920000001,5.198961400000001,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Fillmore  City Of,CA5610002,2017-01-01,Monthly,converted to kgal,15.8479626060324,3.42988394584139,4.55849809523809,Tiered,38.75,22.69,61.44,0-11,0,8.228572,NA,NA,NA,NA,NA,NA,NA,0-3.88,0,2.9024417600000003,NA,NA,NA,NA,NA,NA,"$45,000 to $49,999",47500,0,Monthly
Folsom  City Of,CA3410014,2013-01-01,Monthly,converted to kgal,16.2818598944479,2.58588957055215,4.33925256818182,Tiered,15,17.58,32.58,0-20-40,0,14.96104,29.92208,NA,NA,NA,NA,NA,NA,1.08-1.3-1.6,0.8078961600000001,0.9724676000000001,1.1968832,NA,NA,NA,NA,NA,"$100,000 to $124,999",112500,1,Monthly
Fontana Water Company,CA3610041,2017-09-15,Monthly,converted to kgal,15.00407138544,3.67517106352058,4.78898227272727,Tiered,25.53,49.81,75.34,0-17,0,12.716884,NA,NA,NA,NA,NA,NA,NA,3.32-3.8181,2.48353264,2.8561373412,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Fortuna  City Of,CA1210006,2017-09-11,Monthly,converted to kgal,8.15094961629116,2.5279665446942,4.2112326744186,Tiered,23.04,7.89,30.93,0-5,0,3.74026,NA,NA,NA,NA,NA,NA,NA,0-1.9,0,1.4212988,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,0,Monthly
Fountain Valley  City Of,CA3010069,2017-07-01,Monthly,converted to kgal,7.89090452152949,2.80640934650871,4.29365909090909,Uniform,7.28,25.96,33.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29,2.46109108,NA,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Fresno City of,CA1010007,2016-07-01,monthly,converted to kgal,13.7338531895688,2.87881411456383,4.99828931818182,Uniform,10.5,17.58,28.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.9575065600000001,NA,NA,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
Fruitridge Vista Water Company,CA3410023,2018-01-01,Monthly,converted to kgal,16,2.97066990628254,4.55209788636364,Tiered,19.84,48.85,79.22,0-14,0,14,NA,NA,NA,NA,NA,NA,NA,4.162-4.526,4.162,4.526,NA,NA,NA,NA,NA,NA,"$25,000 to $29,999",27500,0,Monthly
Fullerton City of,CA3010010,2017-07-01,Bi-Monthly,converted to kgal,12,2.83796202446111,8.61663136363636,Tiered,7.39,14.585,18.28,0-7.5-20,0,3.75,10,NA,NA,NA,NA,NA,NA,3.123-3.42-3.709,3.123,3.42,3.709,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Galt  City Of,CA3410011,2017-03-21,Monthly,converted to kgal,16.0450298790357,3.12487100103199,4.53703241860465,Uniform,19.45,14.28,33.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.66576628,NA,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Garden Grove City of,CA3010062,2016-07-01,bimonthly,converted to kgal,10,3.29040799366073,8.78148146341463,Tiered,7.11,14.96,18.515,0-37-251-501,0,13.838962,93.880526,187.38702600000002,NA,NA,NA,NA,NA,2.92-3-3.09-3.18,2.18431184,2.2441560000000003,2.31148068,2.3788053600000003,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Georgetown Divide Public Utility District,CA0910013,2011-07-11,Bi-Monthly,converted to kgal,14,2.53183635804368,9.00994140909091,Tiered,23.57,2.8,14.585,0-20-40-60-80,0,7.48052,14.96104,22.441560000000003,29.92208,NA,NA,NA,NA,0-1.38-1.65-1.93-2.21,0,1.03231176,1.2342858,1.44374036,1.65319492,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Gilroy  City Of,CA4310004,2017-07-01,Monthly,converted to kgal,10,3.2029239320794902,3.92609954545455,Tiered,9.53,24.9,34.43,0-30,0,30,NA,NA,NA,NA,NA,NA,NA,3.24-3.76,3.24,3.76,NA,NA,NA,NA,NA,NA,"$60,000 to $74,999",67500,0,Monthly
Glenbrook Water Cooperative,NA(NEVADA),2016-01-01,Annually,converted to kgal,15,3,48,Tiered,9.7225,0,9.7225,0-250,0,20.833333333333332,NA,NA,NA,NA,NA,NA,NA,0-34,0,34,NA,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Glendale City of,CA1910043,2016-07-01,monthly,converted to kgal,8.66731533860348,2.51983246745666,4.71909909090909,Tiered,28.02,23.33,51.35,0-6-12-25,0,4.4883120000000005,8.976624000000001,18.7013,NA,NA,NA,NA,NA,2.45-3.02-3.43-4.17,1.8327274000000002,2.25911704,2.56581836,3.11937684,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Glendora  City Of,CA1910044,2017-04-01,Bi-Monthly,converted to kgal,16,2.75980148883375,9.03319772727273,Tiered,40.88,19.325,39.76,0-38,0,14.212988000000001,NA,NA,NA,NA,NA,NA,NA,2.36-4.07,1.76540272,3.0445716400000005,NA,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Golden State Water Company - Artesia,CA1910004,2018-01-01,Monthly,converted to kgal,8.96202951073483,3.16073559345827,4.20138590909091,Tiered,25.79,35.99,61.78,0-11-15,0,8.228572,11.220780000000001,NA,NA,NA,NA,NA,NA,4.016-4.619-5.311,3.004176832,3.4552521880000002,3.9729041720000002,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,1,Monthly
Golden State Water Company - Barstow,CA3610043,2018-01-01,Monthly,converted to kgal,10.5743207464532,2.92546008208659,5.5569329545454504,Tiered,23.4,41.23,64.63,0-13-21,0,9.724676,15.709092000000002,NA,NA,NA,NA,NA,NA,3.899-4.484-5.157,2.916654748,3.3542651680000004,3.8577041640000003,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,0,Monthly
Golden State Water Company - Bay Point,CA0710002,2018-01-01,Monthly,converted to kgal,7.35743901939254,3.21740941274469,4.23941240909091,Tiered,28.49,41.76,70.25,0-8-14,0,5.984416,10.472728,NA,NA,NA,NA,NA,NA,5.635-6.48-7.452,4.21527302,4.847376960000001,5.574483504000001,NA,NA,NA,NA,NA,"$40,000 to $44,999",42500,1,Monthly
Golden State Water Company - Claremont,CA1910024,2018-01-01,Monthly,converted to kgal,14.5723888715977,2.53320837747535,4.52835454545455,Tiered,23.4,58.32,81.72,0-13-21,0,9.724676,15.709092000000002,NA,NA,NA,NA,NA,NA,3.899-4.484-5.157,2.916654748,3.3542651680000004,3.8577041640000003,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,0,Monthly
Golden State Water Company - Cordova,CA3410015,2017-04-20,Monthly,converted to kgal,15.0532797221393,2.48627627796878,4.37547538636364,Uniform,12.38,26.36,38.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.751,1.309839052,NA,NA,NA,NA,NA,NA,NA,"$50,000 to $59,999",55000,0,Monthly
Golden State Water Company - Cowan Heights,CA3010047,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,23.4,61.33,84.73,0-13-21,0,9.724676,15.709092000000002,NA,NA,NA,NA,NA,NA,3.899-4.848-5.157,2.916654748,3.6265560960000003,3.8577041640000003,NA,NA,NA,NA,NA,NA,NA,0,Monthly
Golden State Water Company - Culver City,CA1910030,2018-01-01,Monthly,converted to kgal,6.1740518379085,2.2,4.604765,Tiered,25.79,24.79,50.58,0-11-15,0,8.228572,11.220780000000001,NA,NA,NA,NA,NA,NA,4.016-4.619-5.311,3.004176832,3.4552521880000002,3.9729041720000002,NA,NA,NA,NA,NA,"$75,000 to $99,999",87500,1,Monthly
Golden State Water Company - Florence Graham,CA1910077,2018-01-01,Monthly,converted to kgal,8.08832941746842,3.82553512623491,4.54605045454545,Tiered,25.79,32.48,58.27,0-11-15,0,8.228572,11.220780000000001,NA,NA,NA,NA,NA,NA,4.016-4.619-5.311,3.004176832,3.4552521880000002,3.9729041720000002,NA,NA,NA,NA,NA,"$30,000 to $34,999",32500,1,Monthly
Golden State Water Company - Hawthorne,NA,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,25.79,63.95,89.74,0-11-15,0,8.228572,11.220780000000001,NA,NA,NA,NA,NA,NA,4.016-4.619-5.311,3.004176832,3.4552521880000002,3.9729041720000002,NA,NA,NA,NA,NA,NA,NA,1,Monthly
Golden State Water Company - Lakewood,NA,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,25.79,63.95,89.74,0-11-15,0,8.228572,11.220780000000001,NA,NA,NA,NA,NA,NA,4.016-4.619-5.311,3.004176832,3.4552521880000002,3.9729041720000002,NA,NA,NA,NA,NA,NA,NA,1,Monthly
