utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_prices,median_income_category,approximate_median_income,check,bill_frequency_update,Tier_number,Tier_price,Tier_volume
Coastside County Water District,CA4110011,2017-07-01,Bi-Monthly,converted to kgal,5,2.39410272669626,7.65995772727273,Tiered,39.23,28.71,48.32,0-4-16-30,0,9.65-10.77-13.89-18.41,"$100,000 to $124,999",112500,0,Monthly,2,8.05652004,5.984416
Colton  City Of,CA3610014,2017-07-01,Monthly,converted to kgal,11.8448914435333,3.0394401108114,5.01780829268293,Tiered,25.29,19.43,44.72,0-18,0,1.64-2.39,"$40,000 to $44,999",42500,0,Monthly,2,1.7878442800000003,NA
Compton City of,CA1910026,2014-07-01,Monthly,converted to kgal,8.00182389311575,3.58282957129388,4.47779263157895,Tiered,30.54,21.36,51.9,0-20,0,2.67-3.09,"$45,000 to $49,999",47500,1,Monthly,2,2.31148068,NA
Contra Costa Water District,CA0710003,2017-09-05,Bi-Monthly,converted to kgal,10,2.58126149713912,8.72608454545455,Tiered,8.97,18.695,23.18,0-40,0,3.91-7.82,"$75,000 to $99,999",87500,0,Monthly,2,5.84976664,NA
Corcoran  City Of,CA1610004,2018-04-01,Monthly,converted to kgal,21.619614435696,3.24050632911392,4.93371341463415,Uniform,27,35.89,62.89,NA,NA,1.66,"$35,000 to $39,999",37500,1,Monthly,2,NA,NA
Corona City Of,CA3310037,2014-02-01,monthly,converted to kgal,13.0922143439786,2.99144359369065,4.71083159090909,Budget,25.23,27.49,52.72,0-indoor-101%-121%-140%,0,2.1-2.33-3.17-6.35-11.64,NA,NA,0,Monthly,2,1.7429611600000001,NA
Covina  City Of,CA1910127,2015-07-01,Monthly,converted to kgal,12.7378367913449,2.92428819921267,4.32241171052632,Tiered,33.24,34.52,67.76,0-16,0,2.71-3.02,"$50,000 to $59,999",55000,1,Monthly,2,2.25911704,NA
Crescent City,NA,2017-07-01,Monthly,converted to kgal,15,3,4,Tiered,22.49,28.82,51.31,0-5,0,0-2.62,NA,NA,1,Monthly,2,1.9598962400000002,NA
Crescenta Valley Water District,CA1910028,2017-07-01,Bi-Monthly,converted to kgal,10,2.69670223084384,9.50259090909091,Tiered,23.96,20.415,32.395,0-11-27,0,4.58-7.21-10.89,"$75,000 to $99,999",87500,0,Monthly,2,7.21,13.5
Crestline Village Water District,CA3610015,2017-01-01,Monthly,converted to kgal,4.30793142500219,2.13071613459879,4.84249023255814,Tiered,26.5,18.09,44.59,0-13,0,4.2-6.3,"$45,000 to $49,999",47500,0,Monthly,2,4.7127276,NA
Cucamonga Valley Water District,CA3610018,2017-07-01,Bi-Monthly,converted to kgal,14,2.86087534257952,9.44991681818182,Tiered,20.88,13.96,24.395,0-10-40-100,0,1.61-2.14-2.68-3.05,"$75,000 to $99,999",87500,0,Monthly,2,1.6008312800000002,14.96104
Daly City  City of,CA4110013,2017-07-01,Bi-Monthly,converted to kgal,6,2.94875131164743,7.61205318181818,Tiered,16.45,11.34,19.565,0-14,0,3.62-8.28,"$75,000 to $99,999",87500,0,Monthly,2,6.19387056,NA
Davis  City Of,CA5710001,2019-01-01,Monthly,converted to kgal,9.35365348943243,2.48895655335394,4.66754818181818,Uniform,13.07,46.86,59.93,NA,NA,5.01,"$50,000 to $59,999",55000,1,Monthly,2,NA,NA
Del Oro Water Company - Black Butte,NA,2017-03-28,Monthly,converted to kgal,15,3,4,Uniform,24.84,19.71,45.17,NA,NA,1.314,NA,NA,1,Monthly,2,NA,NA
Del Oro Water Company - Magalia,NA,2018-03-22,Monthly,converted to kgal,15,3,4,Uniform,31.67,58.95,99.74,NA,NA,5.254,NA,NA,0,Monthly,2,NA,NA
Delano  City Of,CA1510005,2017-07-01,Monthly,converted to kgal,10.9176622058153,3.52735695505196,4.85881113636364,Tiered,26.78,20.99,47.77,0-5-15,0,1.39-2.23-3.31,"$30,000 to $34,999",32500,1,Monthly,2,1.66815596,11.220780000000001
Desert Water Agency,CA3310005,2017-01-01,monthly,converted to kgal,12.6892616861775,1.88524217388009,5.73116318181818,Uniform,14.41,19.92,36.36,NA,NA,1.57,"$40,000 to $44,999",42500,0,Monthly,2,NA,NA
Diablo Water District,CA0710007,2017-02-01,monthly,converted to kgal,11.7844557781547,3.20267070745336,4.72398840909091,Tiered,11.05,38.5,49.55,0-9,0,3.19-3.43,"$75,000 to $99,999",87500,0,Monthly,2,2.56581836,NA
Dinuba  City Of,CA5410002,2017-10-01,Monthly,converted to kgal,15,3.55368552282998,4.92167046511628,Tiered,11.86,15.68,27.54,0-9,0,1.187-1.922,"$35,000 to $39,999",37500,1,Monthly,2,1.922,NA
Discovery Bay  Town Of,CA0710009,2018-01-01,Monthly,converted to kgal,12.784292711003,2.38955386289445,4.72547181818182,Uniform,18.02,25.76,43.78,NA,NA,2.015,"$100,000 to $124,999",112500,1,Monthly,2,NA,NA
Downey  City Of,CA1910034,2013-01-01,Bi-Monthly,converted to kgal,10,3.00364063417499,8.80798136363636,Tiered,14.23,7.845,14.96,0-16-31-70,0,1.397-1.816-2.904-5.519,"$60,000 to $74,999",67500,0,Monthly,2,1.358462432,11.594806
Dublin San Ramon Services District,CA0110009,2017-01-01,bimonthly,converted to kgal,8,2.8860728245217,8.53685409090909,Tiered,26.43,2.955,16.17,0-11-35,0,0.55-1.16-1.55,"$125,000 to $149,999",137500,0,Monthly,2,0.86774032,13.090910000000001
East Bay Municipal Utility District,CA0110005,2017-07-12,Bi-Monthly,converted to kgal,7,2.48304589508251,7.71442186363636,Tiered,22.6,14.355,25.655,0-8-17,0,3.45-4.74-6.27,"$60,000 to $74,999",67500,0,Monthly,2,3.5457664800000006,6.358442
East Niles Community Service District,CA1510006,2017-04-01,monthly,converted to kgal,23.0707417650554,3.43090346186321,5.01336840909091,Uniform,38.9,34.14,73.04,NA,NA,1.48,"$40,000 to $44,999",42500,1,Monthly,2,NA,NA
East Orange County Water District,CA3010068,2018-02-16,Monthly,converted to kgal,21.8303325312058,2.75402446877012,4.45087272727273,Uniform,25.35,76.41,126.18,NA,NA,3.5,"$100,000 to $124,999",112500,0,Monthly,2,NA,NA
East Palo Alto  City of,CA4110024,2017-07-01,Monthly,converted to kgal,6.07330202533696,3.2717903930131,3.97836568181818,Tiered,22.6,40.97,63.57,0-6,0,6.3-8.82,"$50,000 to $59,999",55000,1,Monthly,2,6.597818640000001,NA
East Valley Water District,CA3610064,2017-07-01,Monthly,converted to kgal,15.550278108385,3.13735080483265,4.93210340909091,Budget,31.32,35.94,67.26,0-indoor-100%,0,1.83-2.61-3.64,"$40,000 to $44,999",42500,1,Monthly,2,1.95241572,NA
El Centro  City of,CA1310004,2017-01-01,monthly,converted to kgal,11.9802450772634,2.91591984694391,6.10133068181818,Uniform,3.56,44.93,48.49,NA,NA,3.75,"$30,000 to $34,999",32500,0,Monthly,2,NA,NA
El Dorado Irrigation District - Main,CA0910001,2017-01-01,bimonthly,converted to kgal,14,2.52444969714877,9.17259418181818,Tiered,29.94,11.08,26.05,0-18-45,0,1.454-1.755-2.059,"$75,000 to $99,999",87500,0,Monthly,2,1.31283126,16.83117
El Monte  City Of,CA1910038,2018-01-01,Monthly,converted to kgal,7,3.27669902912621,4.45869659090909,Tiered,22.75,1.33,24.08,0-13,0,0.256-0.444,"$35,000 to $39,999",37500,0,Monthly,2,0.444,NA
El Segundo  City Of,CA1910040,2017-07-01,Monthly,converted to kgal,7.6816230557611,2.39382586542784,4.47586302325581,Tiered,10.84,20.63,31.47,0-10-20-50,0,2.6857-4.9428-5.6145-4.9428,"$75,000 to $99,999",87500,0,Monthly,2,3.6974714256000003,14.96104
El Toro Water District,CA3010079,2017-07-01,Monthly,converted to kgal,7.82242918084324,2.08609087111895,4.53353636363636,Budget,20.48,20.81,41.29,0-indoor-100%-130%,0,2.52-2.91-6.08-7.82,"$50,000 to $59,999",55000,1,Monthly,2,2.1768313200000002,NA
Elk Grove Water Service,CA3410008,2017-01-01,monthly,converted to kgal,10.6852709264091,2.76808224207563,4.5790055,Tiered,64.73,16.24,80.97,0-30.01,0,1.52-3.02,"$75,000 to $99,999",87500,1,Monthly,2,2.25911704,NA
Elsinore Valley Municipal Water District,CA3310012,2017-07-01,Monthly,converted to kgal,12.6854364298878,3.11101217755663,4.984865,Budget,23.77,33.39,57.16,0-indoor-100%-130%,0,2.29-2.78-5.05-7.48,"$60,000 to $74,999",67500,1,Monthly,2,2.07958456,NA
Escondido City of,CA3710006,2016-03-01,monthly,converted to kgal,9.61566591545839,3.10986103931645,4.49177951219512,Tiered,30.11,53.2,83.31,0-9.36-20.05,0,5.33-6.88-8.75,"$50,000 to $59,999",55000,1,Monthly,2,5.146597760000001,14.998442600000002
Estero Municipal Improvement District,CA4110021,2017-07-01,Bi-Monthly,converted to kgal,6,2.41517052419064,7.80718818181818,Tiered,9.93,15.92,20.88,0-20,0,5.03-6.06,"$125,000 to $149,999",137500,0,Monthly,2,4.53319512,NA
Eureka  City Of,CA1210004,2017-07-01,Monthly,converted to kgal,5.48912815459122,2.16815878378378,4.28650322727273,Uniform,25.15,11.8,36.95,NA,NA,2.15,"$35,000 to $39,999",37500,1,Monthly,2,NA,NA
Exeter  City Of,CA5410003,2018-01-01,Monthly,converted to kgal,17.999842964637,3.337822671156,4.82010675675676,Tiered,23.55,5.88,29.43,0-15,0,0-1.47,"$25,000 to $29,999",27500,0,Monthly,2,1.09963644,NA
Fair Oaks Water District,CA3410009,2018-01-01,Bi-Monthly,converted to kgal,17,2.45182310733636,8.58890813636364,Uniform,35.8,4.15,22.055,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,2,NA,NA
Fairfield  City Of,CA4810003,2018-01-01,Monthly,converted to kgal,9.25476596238823,2.81388702084734,4.23734809090909,Uniform,25.8,20.18,45.98,NA,NA,2.18,"$50,000 to $59,999",55000,1,Monthly,2,NA,NA
Fallbrook Public Utility District,CA3710008,2018-01-01,Monthly,converted to kgal,11.1923525560077,2.7961215932914,4.79482340909091,Tiered,57.95,63.46,121.41,0-6-31,0,5.62-5.71-6.95,"$50,000 to $59,999",55000,0,Monthly,2,4.271376920000001,23.189612
Fillmore  City Of,CA5610002,2017-01-01,Monthly,converted to kgal,15.8479626060324,3.42988394584139,4.55849809523809,Tiered,38.75,22.69,61.44,0-11,0,0-3.88,"$45,000 to $49,999",47500,0,Monthly,2,2.9024417600000003,NA
Folsom  City Of,CA3410014,2013-01-01,Monthly,converted to kgal,16.2818598944479,2.58588957055215,4.33925256818182,Tiered,15,17.58,32.58,0-20-40,0,1.08-1.3-1.6,"$100,000 to $124,999",112500,1,Monthly,2,0.9724676000000001,29.92208
Fontana Water Company,CA3610041,2017-09-15,Monthly,converted to kgal,15.00407138544,3.67517106352058,4.78898227272727,Tiered,25.53,49.81,75.34,0-17,0,3.32-3.8181,"$50,000 to $59,999",55000,0,Monthly,2,2.8561373412,NA
Fortuna  City Of,CA1210006,2017-09-11,Monthly,converted to kgal,8.15094961629116,2.5279665446942,4.2112326744186,Tiered,23.04,7.89,30.93,0-5,0,0-1.9,"$40,000 to $44,999",42500,0,Monthly,2,1.4212988,NA
Fountain Valley  City Of,CA3010069,2017-07-01,Monthly,converted to kgal,7.89090452152949,2.80640934650871,4.29365909090909,Uniform,7.28,25.96,33.24,NA,NA,3.29,"$75,000 to $99,999",87500,0,Monthly,2,NA,NA
Fresno City of,CA1010007,2016-07-01,monthly,converted to kgal,13.7338531895688,2.87881411456383,4.99828931818182,Uniform,10.5,17.58,28.08,NA,NA,1.28,"$40,000 to $44,999",42500,1,Monthly,2,NA,NA
Fruitridge Vista Water Company,CA3410023,2018-01-01,Monthly,converted to kgal,16,2.97066990628254,4.55209788636364,Tiered,19.84,48.85,79.22,0-14,0,4.162-4.526,"$25,000 to $29,999",27500,0,Monthly,2,4.526,NA
Fullerton City of,CA3010010,2017-07-01,Bi-Monthly,converted to kgal,12,2.83796202446111,8.61663136363636,Tiered,7.39,14.585,18.28,0-7.5-20,0,3.123-3.42-3.709,"$60,000 to $74,999",67500,0,Monthly,2,3.42,10
Galt  City Of,CA3410011,2017-03-21,Monthly,converted to kgal,16.0450298790357,3.12487100103199,4.53703241860465,Uniform,19.45,14.28,33.73,NA,NA,0.89,"$60,000 to $74,999",67500,0,Monthly,2,NA,NA
Garden Grove City of,CA3010062,2016-07-01,bimonthly,converted to kgal,10,3.29040799366073,8.78148146341463,Tiered,7.11,14.96,18.515,0-37-251-501,0,2.92-3-3.09-3.18,"$60,000 to $74,999",67500,0,Monthly,2,2.2441560000000003,93.880526
Georgetown Divide Public Utility District,CA0910013,2011-07-11,Bi-Monthly,converted to kgal,14,2.53183635804368,9.00994140909091,Tiered,23.57,2.8,14.585,0-20-40-60-80,0,0-1.38-1.65-1.93-2.21,"$75,000 to $99,999",87500,0,Monthly,2,1.03231176,14.96104
Gilroy  City Of,CA4310004,2017-07-01,Monthly,converted to kgal,10,3.2029239320794902,3.92609954545455,Tiered,9.53,24.9,34.43,0-30,0,3.24-3.76,"$60,000 to $74,999",67500,0,Monthly,2,3.76,NA
Glenbrook Water Cooperative,NA(NEVADA),2016-01-01,Annually,converted to kgal,15,3,48,Tiered,9.7225,0,9.7225,0-250,0,0-34,NA,NA,1,Monthly,2,34,NA
Glendale City of,CA1910043,2016-07-01,monthly,converted to kgal,8.66731533860348,2.51983246745666,4.71909909090909,Tiered,28.02,23.33,51.35,0-6-12-25,0,2.45-3.02-3.43-4.17,"$50,000 to $59,999",55000,1,Monthly,2,2.25911704,8.976624000000001
Glendora  City Of,CA1910044,2017-04-01,Bi-Monthly,converted to kgal,16,2.75980148883375,9.03319772727273,Tiered,40.88,19.325,39.76,0-38,0,2.36-4.07,"$75,000 to $99,999",87500,0,Monthly,2,3.0445716400000005,NA
Golden State Water Company - Artesia,CA1910004,2018-01-01,Monthly,converted to kgal,8.96202951073483,3.16073559345827,4.20138590909091,Tiered,25.79,35.99,61.78,0-11-15,0,4.016-4.619-5.311,"$50,000 to $59,999",55000,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Barstow,CA3610043,2018-01-01,Monthly,converted to kgal,10.5743207464532,2.92546008208659,5.5569329545454504,Tiered,23.4,41.23,64.63,0-13-21,0,3.899-4.484-5.157,"$30,000 to $34,999",32500,0,Monthly,2,3.3542651680000004,15.709092000000002
Golden State Water Company - Bay Point,CA0710002,2018-01-01,Monthly,converted to kgal,7.35743901939254,3.21740941274469,4.23941240909091,Tiered,28.49,41.76,70.25,0-8-14,0,5.635-6.48-7.452,"$40,000 to $44,999",42500,1,Monthly,2,4.847376960000001,10.472728
Golden State Water Company - Claremont,CA1910024,2018-01-01,Monthly,converted to kgal,14.5723888715977,2.53320837747535,4.52835454545455,Tiered,23.4,58.32,81.72,0-13-21,0,3.899-4.484-5.157,"$75,000 to $99,999",87500,0,Monthly,2,3.3542651680000004,15.709092000000002
Golden State Water Company - Cordova,CA3410015,2017-04-20,Monthly,converted to kgal,15.0532797221393,2.48627627796878,4.37547538636364,Uniform,12.38,26.36,38.74,NA,NA,1.751,"$50,000 to $59,999",55000,0,Monthly,2,NA,NA
Golden State Water Company - Cowan Heights,CA3010047,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,23.4,61.33,84.73,0-13-21,0,3.899-4.848-5.157,NA,NA,0,Monthly,2,3.6265560960000003,15.709092000000002
Golden State Water Company - Culver City,CA1910030,2018-01-01,Monthly,converted to kgal,6.1740518379085,2.2,4.604765,Tiered,25.79,24.79,50.58,0-11-15,0,4.016-4.619-5.311,"$75,000 to $99,999",87500,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Florence Graham,CA1910077,2018-01-01,Monthly,converted to kgal,8.08832941746842,3.82553512623491,4.54605045454545,Tiered,25.79,32.48,58.27,0-11-15,0,4.016-4.619-5.311,"$30,000 to $34,999",32500,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Hawthorne,NA,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,25.79,63.95,89.74,0-11-15,0,4.016-4.619-5.311,NA,NA,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Lakewood,NA,2018-01-01,Monthly,converted to kgal,15,3,4,Tiered,25.79,63.95,89.74,0-11-15,0,4.016-4.619-5.311,NA,NA,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Norwalk,CA1910098,2018-01-01,Monthly,converted to kgal,8.92785231389954,3.55497276578576,4.35694568181818,Tiered,25.79,35.85,61.64,0-11-15,0,4.016-4.619-5.311,"$60,000 to $74,999",67500,1,Monthly,2,3.4552521880000002,11.220780000000001
Golden State Water Company - Placentia,CA3010035,2018-01-01,Monthly,converted to kgal,10.4502210370735,2.8542385884158,4.32835090909091,Tiered,23.4,40.75,64.15,0-13-21,0,3.899-4.484-5.157,"$75,000 to $99,999",87500,1,Monthly,2,3.3542651680000004,15.709092000000002
Golden State Water Company - San Dimas,CA1910142,2017-04-01,Monthly,converted to kgal,12.5371084979739,2.75751369900924,4.35367977272727,Tiered,23.13,48.27,71.4,0-14-22,0,3.85-4.428-5.092,"$75,000 to $99,999",87500,1,Monthly,2,3.312374256,16.457144
Golden State Water Company - San Gabriel,CA1910223,2018-01-01,Monthly,converted to kgal,8.77462894169245,3.42491563554556,4.46490159090909,Tiered,23.4,34.21,57.61,0-13-21,0,3.899-4.484-5.157,"$35,000 to $39,999",37500,0,Monthly,2,3.3542651680000004,15.709092000000002
Golden State Water Company - South Arcadia,CA1910212,2018-01-01,Monthly,converted to kgal,10.1219156565904,2.87279817130563,4.49197931818182,Tiered,23.4,39.47,62.87,0-13-21,0,3.899-4.484-5.157,"$60,000 to $74,999",67500,0,Monthly,2,3.3542651680000004,15.709092000000002
Golden State Water Company - Southwest,CA1910155,2018-04-06,Monthly,converted to kgal,7.11848352471041,2.87875846276384,4.45265022727273,Tiered,25.41,28.18,53.59,0-11-15,0,3.959-4.552-5.235,"$45,000 to $49,999",47500,0,Monthly,2,3.405132704,11.220780000000001
Golden State Water Company - West Orange,CA3010022,2018-04-06,Monthly,converted to kgal,9.06874041088463,2.92306539141906,4.19231045454545,Tiered,23.1,34.91,58.01,0-13-21,0,3.85-4.428-5.092,"$75,000 to $99,999",87500,1,Monthly,2,3.312374256,15.709092000000002
Golden State Water Company Bell-Bell Gardens,CA1910011,2017-04-01,Monthly,converted to kgal,8.3385160385839,3.78915977037203,4.43420272727273,Tiered,25.04,32.54,57.58,0-12-16,0,3.902-4.487-5.16,"$35,000 to $39,999",37500,1,Monthly,2,3.356509324,11.968832
Golden State Water Company Orcutt,CA4210016,2017-04-20,Monthly,converted to kgal,14.41870163835,2.61256103721165,3.97777613636364,Tiered,25.56,40.8,66.36,0-16-28,0,2.83-3.255-3.743,"$60,000 to $74,999",67500,0,Monthly,2,2.43490926,20.945456
Golden State Water Company Simi Valley,CA5610059,2017-07-19,Monthly,converted to kgal,10.6958905041442,2.82810980626823,4.75892590909091,Tiered,26.33,39.65,65.98,0-13-20,0,3.707-4.264-4.903,"$75,000 to $99,999",87500,1,Monthly,2,3.1896937280000004,14.96104
Goleta Water District,CA4210004,2017-04-01,Monthly,converted to kgal,5.6276101303781,2.68220640569395,4.05637340909091,Tiered,47.57,27.29,74.86,0-7-17,0,4.85-5.97-6.57,"$60,000 to $74,999",67500,1,Monthly,2,4.46587044,12.716884
Great Oaks Water Company Incorporated,CA4310022,2017-07-01,Bi-Monthly,converted to kgal,8,3.06781979082864,7.48463720930233,Tiered,12.49,11.335,19.855,0-13-32,0,2.6869-2.9101-3.3553,"$75,000 to $99,999",87500,0,Monthly,2,2.1769061252,11.968832
Greenfield City Of,CA2710008,2016-08-01,Monthly,converted to kgal,11,3.94337714863498,4.24489477272727,Tiered,14.8,10.47,35.94,0-8-15,0,1.17-1.75-3.35,"$45,000 to $49,999",47500,0,Monthly,2,1.75,15
Groveland Community Services District,CA5510009,2017-05-01,Monthly,converted to kgal,8,2.02302631578947,4.62646590909091,Tiered,36.28,65.12,101.4,0-3.3,0,7-13.85,"$50,000 to $59,999",55000,0,Monthly,2,13.85,NA
Grover Beach  City Of,CA4010004,2017-08-01,Monthly,converted to kgal,6.33593832273621,2.31860003608154,4.07219463414634,Uniform,12.08,39.09,51.17,NA,NA,6.17,"$50,000 to $59,999",55000,1,Monthly,2,NA,NA
Hanford  City Of,CA1610003,2017-07-01,Monthly,converted to kgal,11.4941581526614,2.71603780954613,5.02455113636364,Uniform,13.07,15.52,31.22,NA,NA,1.35,"$45,000 to $49,999",47500,0,Monthly,2,NA,NA
Hayward  City of,CA0110006,2016-10-01,bimonthly,converted to kgal,6,3.00256145718453,7.89740954545455,Tiered,10.88,19.175,24.61,0-9-26,0,5.8-7.14-8.41,"$60,000 to $74,999",67500,0,Monthly,2,5.3410912800000006,9.724676
Healdsburg  City Of,CA4910005,2017-07-01,Monthly,converted to kgal,8.83770973131446,2.40862520848225,3.83790938636364,Uniform,21.01,44.1,65.11,NA,NA,4.99,"$60,000 to $74,999",67500,1,Monthly,2,NA,NA
Helix Water District,CA3710010,2018-03-01,Bi-Monthly,converted to kgal,8,2.649057454483,8.63487954545455,Tiered,23.93,20.155,32.125,0-14-34,0,4.65-5.46-6.79,"$50,000 to $59,999",55000,0,Monthly,2,4.08436392,12.716884
Hemet  City Of,CA3310016,2018-01-01,Monthly,converted to kgal,6.88587169123661,2.46110783736005,5.13125068181818,Uniform,30.49,31.26,61.75,NA,NA,4.54,"$25,000 to $29,999",27500,0,Monthly,2,NA,NA
Hesperia Water District City of,CA3610024,2018-01-01,Bi-Monthly,converted to kgal,14,3.18545094643078,9.46608090909091,Tiered,23.05,8.935,20.455,0-14-35,0,0.92-1.65-2.24,"$40,000 to $44,999",42500,0,Monthly,2,1.2342858,13.090910000000001
Hi Desert Water District,CA3610073,2011-07-01,Monthly,converted to kgal,6.89020828537209,2.34600928587221,5.47558931818182,Tiered,23.3,30.81,54.11,0-5-11-29,0,3.59-5.69-6.89-9.08,"$35,000 to $39,999",37500,1,Monthly,2,4.2564158800000005,8.228572
Hillsborough  Town Of,CA4110016,2018-01-01,Monthly,converted to kgal,23.6484262228649,2.91031726205346,3.88212720930233,Tiered,68.68,172.52,241.2,0-10-22-35,0,5.98-7.59-10.43-15.92,"$200,000 or more",200000,0,Monthly,2,5.67771468,16.457144
Hollister  City Of,CA3510001,2018-01-01,Monthly,converted to kgal,11.2166779042557,3.36501397675445,4.15800097560976,Tiered,13.29,44.86,58.15,0-9-15,0,3.38-5.54-6.34,"$60,000 to $74,999",67500,1,Monthly,2,4.14420808,11.220780000000001
Humboldt Bay Municipal Water District,CA1210013,2017-07-01,Monthly,converted to kgal,7.36249495710223,2.24094080576187,4.28089234090909,Tiered,23.77,5.58,29.35,0-5-15-50-1000,0,0-1.66-1.79-1.96-0.71,"$40,000 to $44,999",42500,0,Monthly,2,1.24176632,11.220780000000001
Humboldt Community Services District,CA1210009,2017-08-01,Monthly,converted to kgal,5.44918615608131,2.33372025536854,4.28784911363636,Uniform,33.67,19.4,53.07,NA,NA,3.56,"$45,000 to $49,999",47500,1,Monthly,2,NA,NA
Huntington Beach City of,CA3010053,2017-03-04,monthly,converted to kgal,8.74854279690795,2.49519618428066,4.27663363636364,Uniform,11.53,17.4,28.93,NA,NA,1.9892,"$75,000 to $99,999",87500,1,Monthly,2,NA,NA
Huntington Park  City of,CA1910049,2017-01-01,monthly,converted to kgal,5.94886444140335,3.51187821942031,4.45591204545455,Uniform,6.35,15.11,21.46,NA,NA,2.54,"$35,000 to $39,999",37500,0,Monthly,2,NA,NA
Imperial  City Of,CA1310006,2018-01-01,Monthly,converted to kgal,11.9686152409871,2.99188823794502,6.06745136363636,Uniform,13.06,40.21,53.27,NA,NA,3.36,"$75,000 to $99,999",87500,1,Monthly,2,NA,NA
Indian Wells Valley Water District,CA1510017,2017-02-01,Monthly,converted to kgal,14.5304923245799,2.43985252507931,5.48462568181818,Tiered,41.41,10.87,52.28,0-7-24-45,0,0.56-0.88-2.39-4.65,"$60,000 to $74,999",67500,1,Monthly,2,0.65828576,17.953248000000002
Indio  City Of,CA3310020,2018-01-01,Monthly,converted to kgal,15.4738680391598,2.84052708877285,6.08463295454545,Budget,21.16,21.52,42.68,0-indoor-100%-200%-400%,0,1.05-1.58-2.11-3.16-4.2,"$45,000 to $49,999",47500,1,Monthly,2,1.18192216,NA
Inglewood  City Of,CA1910051,2012-10-01,Monthly,converted to kgal,6.82296663390554,2.58535085447954,4.56701954545455,Tiered,13.5,23.88,37.38,0-15-39,0,3.5-4.75-6,"$40,000 to $44,999",42500,0,Monthly,2,3.5532470000000003,29.174028000000003
Joshua Basin Water District,CA3610025,2017-01-01,Monthly,converted to kgal,8.47424708062791,2.14838709677419,5.77651441860465,Tiered,25.78,27.16,52.94,0-6-11-21,0,3-3.5-4-4.5,"$30,000 to $34,999",32500,1,Monthly,2,2.618182,8.228572
Jurupa Community Service District,CA3310021,2018-01-01,Monthly,converted to kgal,17.8556978781495,3.44388864723793,4.72266727272727,Tiered,36.46,26.6,63.06,0-20-50-100,0,1.49-1.89-2.18-2.43,"$75,000 to $99,999",87500,1,Monthly,2,1.41381828,37.4026
Kelly Mutual Water Company,CA4900560,2016-10-16,Bi-Monthly,converted to kgal,15,3,8,Uniform,90,30,75,NA,NA,4,NA,NA,0,Monthly,2,NA,NA
Kerman  City Of,CA1010018,2017-07-01,Monthly,converted to kgal,19,3.59620253164557,4.99486325581395,Uniform,16.17,11.8,27.97,NA,NA,0.85,"$30,000 to $34,999",32500,1,Monthly,2,NA,NA
Kingsburg  City Of,CA1010019,2017-04-01,Monthly,converted to kgal,20,2.6124905944319,4.88579840909091,Tiered,32.25,12.63,44.88,0-11-22,0,0.8-0.95-1.14,"$50,000 to $59,999",55000,1,Monthly,2,0.95,22
La Habra  City Of,NA,2018-02-01,Monthly,converted to kgal,15,3,4,Tiered,19.17,42.41,61.58,0-9-16,0,2.16-3.59-4.31,NA,NA,0,Monthly,2,2.68550668,11.968832
La Palma  City Of,CA3010100,2018-01-01,Monthly,converted to kgal,9.23332297659204,3.0793018983466,4.22981,Uniform,36.36,20.22,56.58,NA,NA,2.19,"$75,000 to $99,999",87500,0,Monthly,2,NA,NA
La Verne  City Of,CA1910062,2009-10-01,Bi-Monthly,converted to kgal,14,2.64459899639053,8.91167181818182,Uniform,14.3,13.95,21.1,NA,NA,2.69,"$75,000 to $99,999",87500,0,Monthly,2,NA,NA
Laguna Beach County Water District,CA3010017,2017-11-01,Bi-Monthly,converted to kgal,8,2.04957564327091,9.12139636363636,Budget,16.18,15.695,23.785,0-100%,0,4.17-7.85,"$75,000 to $99,999",87500,0,Monthly,2,5.8722082,NA
Lake Arrowhead Community Services District,CA3610005,2017-01-01,Monthly,converted to kgal,4.77268406617488,2.50634478489632,4.67808886363636,Tiered,38.23,6.89,45.12,0-5-14-31,0,1.26-2.39-7.09-14.78,"$60,000 to $74,999",67500,0,Monthly,2,1.7878442800000003,10.472728
Lake Hemet Municipal Water District,CA3310022,2017-07-01,Monthly,converted to kgal,11.8380960583873,2.83227977161501,5.17129545454545,Tiered,30.91,28.71,59.62,0-7-13-25-38,0,2.384-2.468-2.708-2.989-3.459,"$40,000 to $44,999",42500,1,Monthly,2,1.846192336,9.724676
Lakewood  City Of,CA1910239,2018-01-01,Bi-Monthly,converted to kgal,9,2.80863884950375,8.48371727272727,Uniform,7.5,16.315,20.065,NA,NA,3.5,"$75,000 to $99,999",87500,0,Monthly,2,NA,NA
