PWSID,Water System Name,Water System Classification,Water System Ownership,Physical location Address 1,Physical location Address 2,Physical location City,Physical location Zip,Website URL,Population Res,WR Type CODE,Water Rate Type,WR Num Tiers,WR Rate Updated,WR Rate Changes,WR Frequency,WR New Connection Fee,WR Connection Fee Updated,WR SF FBR,WR SF Amt per HCF,WR SF Amt Low,WR SF Amt High,WR SF Amt per HCF Low,WR SF Amt per HCF High,WR MF FBR,WR MF Amt per HCF,WR MF Amt Low,WR MF Amt High,WR MF Amt per HCF Low,WR MF Amt per HCF High,WR Subsidies,WR S FBR,WATER RATES Lifeline UUR VOLUME,WR S Amt Low,WR S Amt High,WR S Amt per HCF Low,WR S Amt per HCF High,WR S Amt Percent,WR CI FBR,WR CI Amt per HCF,WR CI Amt Low,WR CI Amt High,WR CI Amt per HCF Low,WR CI Amt per HCF High,WR I FBR,WR I Amt per HCF,WR I Amt Low,WR I Amt High,WR I Amt per HCF Low,WR I Amt per HCF High,WR LI FBR,WR LI Amt per HCF,WR LI Amt Low,WR LI Amt High,WR LI Amt per HCF Low,WR LI Amt per HCF High,WR AI FBR,WR AI Amt per HCF,WR AI Amt Low,WR AI Amt High,WR AI Amt per HCF Low,WR AI Amt per HCF High,WR O FBR,WR O Amt per HCF,WR O Amt Low,WR O Amt High,WR O Amt per HCF Low,WR O Amt per HCF High,WR FS Surcharges,WR FS FBR,WR FS Amt per HCF,WR FS Amt Low,WR FS Amt High,WR FS Amt per HCF Low,WR FS Amt per HCF High,WR Other Surcharges,WR Other Surcharges Description,WR OS FBR,WR OS Amt per HCF,WR OS Amt Low,WR OS Amt High,WR OS Amt per HCF Low,WR OS Amt per HCF High,WR AVG Mon Res Cost,WR AVG Mon Res Cost 6 CCF,WR AVG Mon Res Cost 12 CCF,WR AVG Mon Res Cost 24 CCR,SYSTEM,EAR YEAR 
CA1502685,USFS - LK ISABELLA OFFICE WATER SYSTEM,Transient Noncommunity Water System,State or Federal Government,4875 Ponderosa Drive, ,LAKE ISABELLA,93240,,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA1502686,USFS - FRENCH GULCH CAMPGROUND WS,Transient Noncommunity Water System,State or Federal Government, , ,LAKE ISABELLA,93240,,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA4300971,PG&E METCALF,Nontransient Noncommunity Water System,Privately owned business (non-community),100 METCALF ROAD,111 ALMADEN BOULEVARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA1503319,USFS - OLD ISABELLA AUXILIARY DAM WS,Transient Noncommunity Water System,State or Federal Government, , ,LAKE ISABELLA,93240,,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA1502575,USFS - FULTON WORK CENTER,Transient Noncommunity Water System,State or Federal Government,9167 HIGHWAY 155, ,GLENVILLE,93240,,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA1502572,USFS - HAVILAH WORK CENTER,Nontransient Noncommunity Water System,State or Federal Government,CALIENTE RD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3107337,WISE VILLA WINERY,Transient Noncommunity Water System,Privately owned business (non-community),4200 WISE RD, ,LINCOLN,95648,,30,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA0409188,FEDEX FREIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA5100153,HOLT OF CALIFORNIA,Nontransient Noncommunity Water System,Privately owned business (non-community), ,7310 PACIFIC AVENUE,PLEASANT GROVE,95668,www.holtca.com,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA5200657,RIVERVIEW AVENUE ESTATES, ,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0409187,PG&E - TABLE MOUNTAIN,Nontransient Noncommunity Water System,Privately owned business (non-community),945 COTTONWOOD RD, ,OROVILLE,95965,,n/a,N/A,Not Applicable,N/A,n/a,n/a,O,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,No,,,,,,,No,,,,,,,, ,n/a,n/a,n/a,SMALL,2015
CA0400013,MERRY MOUNTAIN MUTUAL,Community Water System,Privately owned Mutual Water Company or Association, 6158 Merry Way, Clipper Mills Ca 95930,CLIPPER MILLS,95930,office@merrymountain.org,84,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2900562,ANANDA VILLAGE,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0400125,GENETIC RESOURCE CENTER, ,State or Federal Government, 2741 Cramer Lane, ,CHICO,95928,,0,N/A,Not Applicable,N/A,NA,NA,O,NA,NA,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,NA,NA,NA,SMALL,2015
CA3200033,PNF LONG POINT CG, ,State or Federal Government, Antelope Lake, ,TAYLORSVILLE,95983,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200040,PNF GRASSHOPPER / GRIZZLY CGS, ,State or Federal Government, , ,LAKE DAVIS,96122,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200212,PNF LAKES BASIN CG, ,State or Federal Government, Gold Lake Highway, ,GRAEAGLE,96103,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200068,PNF WHITE HORSE CG, ,State or Federal Government, Bucks Lake Summit, ,BUCKS LAKE,95956,,0`,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200069,PNF SUNDEW / HUTCHINS CGS, ,State or Federal Government, , ,BUCKS LAKE,95956,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200038,PNF COTTONWOOD CG / FRENCHMAN ADMIN, ,State or Federal Government,SOUTH SHORE FRENCHMAN LAKE,RD 25N11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3200036,PNF FRENCHMAN / SPRING CREEK CGS, ,-,EAST SHORE FRENCHMAN LAKE,RD 24N01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3200037,PNF BIG COVE CG, ,-, , ,CHILCOOT,96105,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200039,PNF CHILCOOT CG, ,State or Federal Government, Frenchaman Lake, ,CHILCOOT,96105,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200048,PNF MT HOUGH RANGER STATION,Nontransient Noncommunity Water System,State or Federal Government, 35696 Highway 70, ,QUINCY,95971,N/A,0,AB,"Allocation Based Rate: ""Allocation-based conservation water pricing"" means a retail water rate structure that meets all of the criteria in Water Code Section 372. See California Water Code sections 370-374",-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200718,PNF SANDY POINT DAY USE AREA, ,State or Federal Government,END OF BUCKLIN ROAD,WEST SHORE BUCKS LAKE,BUCKS LAKE,95971,,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3200187,PNF LIGHTING TREE CG, ,State or Federal Government,LAKE DAVIS, ,QUINCY,95971,,0,AB,"Allocation Based Rate: ""Allocation-based conservation water pricing"" means a retail water rate structure that meets all of the criteria in Water Code Section 372. See California Water Code sections 370-374",N/A,,,O,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA2900601,JOHN MUIR CHARTER SCHOOL,Nontransient Noncommunity Water System,Local Government,12338 MCCOURTNEY RD, ,GRASS VALLEY,95949,njuhsd.com,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA1900750,DEL SUR SCHOOL/WESTSIDE UNION DISTRICT,Nontransient Noncommunity Water System,Local Government,9023 WEST AVENUE H, ,LANCASTER,93536,,na,-,,-,na,na,-,na,na,na,,,,,,na,,,,,,-,na,,,,,,,na,,,,,,na,,,,,,na,,,,,,na,,,,,,na,,,,,,-,na,,,,,,-,,na,,,,,, ,na,na,na,SMALL,2015
CA1900537,OAK GROVE FAMILY PARK,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA2900536,CLEAR CREEK SCHOOL,Nontransient Noncommunity Water System,Local Government,17700 MC COURTNEY RD,17700 MC COURTNEY RD,GRASS VALLEY,95949,www.clearcreekschool.com,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,n/a,,,SMALL,2015
CA0400014,LAKE MADRONE WATER DISTRICT,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4000659,TRI COUNTIES CLUB,Transient Noncommunity Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3200301,PSEA CAMP ALMANOR,Transient Noncommunity Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4500243,PG&E - PSEA  CAMP BRITTON,Transient Noncommunity Water System,Privately owned business (non-community),37256 Clark Creek Road, ,BURNEY,96013,PSEA.INFO,0,N/A,Not Applicable,N/A,N/A,N?A,O,N/A,N/A,N?A,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,N/A,,,SMALL,2015
CA4500244,PG&E - PSEA CAMP SHASTA,Transient Noncommunity Water System,Privately owned business (non-community), ,36771 Clark Creek Rd,BURNEY,96013,PSEA.INFO,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,None,,,SMALL,2015
CA4500245,PG&E - PSEA CAMP PIT,Transient Noncommunity Water System,Privately owned business (non-community), ,31401 Hagen Flat Rd,Big Bend,96011,PSEA.INFO,0,N/A,Not Applicable,N/A,,,O,n/a,N/A,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,n?,n/A,N/A,n/a, ,N/A,,,SMALL,2015
CA0400010,PSEA CAMP - DESABLA,Transient Noncommunity Water System,Privately owned business (non-community), , ,MAGALIA,95954,PSEA.INFO,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,0,0,0,SMALL,2015
CA2900626,STREETER INDUSTRIAL PLAZA,Nontransient Noncommunity Water System,Privately owned business (non-community),10074 STREETER RD,10074 STREETER RD,AUBURN,95602,,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA0400046,PONDEROSA MOBILE ESTATES,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4000632,HIDDEN HILLS MOBILODGE, ,Privately owned Mutual Water Company or Association, 650 Tank Farm Rd., ,SAN LUIS OBISPO,93401,rpmmidcoast.com,55,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,0,0,0,SMALL,2015
CA2900530,ROUGH & READY MOBILEHOME VILLAGE,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0400062,RICHVALE ELEMENTARY SCHOOL,Nontransient Noncommunity Water System,Local Government, , ,RICHVALE,95974,www.biggs.org,0,N/A,Not Applicable,N/A,00/00/0000,0,O,0,00/00/0000,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA0400135,DURHAM PARK,Transient Noncommunity Water System,Local Government,Durham Community Park,1847 Durham Dayton Hwy,DURHAM,95938,Durhamrec.com,0,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4000784,ARROYO GRANDE MUSHROOM FARM,Nontransient Noncommunity Water System,Privately owned business (non-community), 4000 Huasna Road, ,ARROYO GRANDE,93420,,N/A,N/A,Not Applicable,-,N/A,N/A,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,N/A,N/A,N/A,SMALL,2015
CA4810034,GILL SIDHU CHEVRON,Transient Noncommunity Water System,Privately owned business (non-community),6854 SIEVERS ROAD, ,DIXON,95620,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4800786,MIDWAY FOODS,Transient Noncommunity Water System,Privately owned business (non-community),4819 MIDWAY RD, ,VACAVILLE,95688,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4800732,DIXON 76,Transient Noncommunity Water System,Privately owned business (non-community),8665 PEDRICK RD, ,DIXON,95620,N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0300011,SUTTER PINES MHP,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA0300053,RANCHO DEL ORO,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3400140,ASPEN GROVE MH & RV PARK (SWS),Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3400150,DELTA CROSSING MHP,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA3100023,AUBURN MOBILE HOME VILLAGE,Community Water System,Privately owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4000648,KEN MAR GARDENS,Community Water System,Privately owned business (non-community), 801 South Halcyon #22, ,ARROYO GRANDE,93420,amadelk1219@gmail.com,84,N/A,Not Applicable,-,,,-,,,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA5400704,THREE RIVERS SCHOOL,Nontransient Noncommunity Water System,Local Government,41932 SIERRA DR., ,THREE RIVERS,93271,http://www.three-rivers.k12.ca.us/,0,N/A,Not Applicable,N/A,na,na,-,na,na,na,na,na,na,na,na,na,na,na,na,na,na,No,,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,No,,,,,,,No,,,,,,,, ,na,na,na,SMALL,2015
CA5400749,GATEWAY RESTAURANT,Transient Noncommunity Water System,Privately owned business (non-community),45978 Sierra Drive,,THREE RIVERS,93271,www.gateway-sequoia.com,0,N/A,Not Applicable,N/A,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5403014,THREE RIVERS LIONS CLUB,Transient Noncommunity Water System,Privately owned business (non-community), 42490 north kaweah dr, ,THREE RIVERS,93271,https://www.facebook.com/pages/Three-Rivers-Lions-Club-Roping-Arena/154929564544712,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3901378,SAN-I-PAK INC,Nontransient Noncommunity Water System,Privately owned business (non-community), 23535 South Bird Road, ,TRACY,95304,www.sanipak.com,N/A,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA4901295,DEERFIELD RANCH WINERY LLC,Transient Noncommunity Water System,Privately owned business (non-community),10200 Sonoma Highway, ,KENWOOD,95452,www.deerfieldranch.com,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA3700422,STUART WATER COMPANY,Community Water System,Privately owned Mutual Water Company or Association,  33916 Mount Laguna Drive, ,MOUNT LAGUNA,91948,none,25,UUR,Uniform Usage Rate: The charge per 100 cubic feet of water is the same regardless of use,N/A,1/1/2016,Rate and Service charge increased,BM,$150 ,1/1/2016,,$7.00 per 1000 gallons,,,,,,0,,,,,No,,,,,,,,,$7.00 per 1000 gallons,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,No,,,,,,,No,,,,,,,, ,approximately $45.00 per month,,,SMALL,2015
CA4200936,KOEHLER WINERY,Transient Noncommunity Water System,Privately owned business (non-community), 5360 Foxen Canyon Road, ,LOS OLIVOS,93441,www.koehlerwinery.com,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,N/A,N/A,N/A,SMALL,2015
CA4500058,BURNEY FALLS TRAILER PARK,Transient Noncommunity Water System,Privately owned business (non-community),37985 Clark Creek Rd, ,BURNEY,96013,,na,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA5000154,THE FRUIT YARD RESTAURANT,Transient Noncommunity Water System,Privately owned business (non-community), 7948 Yosemite Blvd, ,MODESTO,95357,thefruityard.com,n/a,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4500035,SISKIYOU FOREST PRODUCTS,Nontransient Noncommunity Water System,Privately owned business (non-community),6275 Hwy 273, ,ANDERSON,96007,,0,N/A,Not Applicable,N/A,,,O,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA3303021,ELSINORE HILLS RV PARK,Transient Noncommunity Water System,Privately owned business (non-community),18860 dexter ave, ,LAKE ELSINORE,92532,,1,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA0900300,KYBURZ MUTUAL WATER SYSTEM,Community Water System,Privately owned Mutual Water Company or Association, Off Kyburz Dr, ,KYBURZCA,95720,NA,250,FBR,Flat Base Rate: Basic charge that all customers pay,N/A,112015,Rate changed,O,NA,NA,$550.00yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,,,,,,,,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,NA,NA,,,,,No,,,,,,,No,NA,,,,,,, ,NA,NA,NA,SMALL,2015
CA4000670,WALNUT HILLS MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association, 240 Nutwood Circle, ,PASO ROBLES,93446,,486,-,,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,0,0,0,SMALL,2015
CA4000789,SPANISH LAKES MUTUAL WATER CO,Community Water System,Privately owned Mutual Water Company or Association,P.O. Box, ,Templeton   Ca,93465,,100,BUUR, Base Rate + Uniform Usage Rate: Single flat base rate charge plus a charge per 100 cubic feet (hcf) that is same regardless of how much is used.,-,,,-,,,20,2.63,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,,,,SMALL,2015
CA4000790,PASO ROBLES RV RANCH,Transient Noncommunity Water System,Privately owned business (non-community), 398 Exline Road, ,PASO ROBLES,93446,,10,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,N/A,N/A,,SMALL,2015
CA4000774,PLEASANT VALLEY ELEMENTARY,Nontransient Noncommunity Water System,Local Government, 2025 Ranchita Canyon, ,SAN MIGUEL,93451,pleasant-valley-school.org,0,N/A,Not Applicable,-,,,-,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,n/a,n/a,n/a,SMALL,2015
CA4000775,MUSTANG SPRINGS MUTUAL WATER,Community Water System,Privately owned Mutual Water Company or Association, 80 Alydar, ,PASO ROBLES,93446,,30,FBR,Flat Base Rate: Basic charge that all customers pay,-,,,M,,,300,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,0,0,0,SMALL,2015
CA4000649,LOS ROBLES MOBILE HOME ESTATES,Community Water System,Privately owned Mutual Water Company or Association, 3165 Theatre Drive, ,PASO ROBLES,93446,,420,FBR,Flat Base Rate: Basic charge that all customers pay,-,,,M,,,25,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,, ,0,0,0,SMALL,2015
CA4000654,RESTHAVEN MOBILE HOME PARK,Community Water System,Privately owned Mutual Water Company or Association, 1950 Adelaida Rd., ,PASO ROBLES,93446,,75,FBR,Flat Base Rate: Basic charge that all customers pay,N/A,,,M,,,31.58,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,No,,,,,,,, ,,,,SMALL,2015
CA4000823,ARONHILL VINEYARD,Transient Noncommunity Water System,Privately owned business (non-community),3745 Highway 46,Templeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
CA4200964,FLAG IS UP FARMS,Transient Noncommunity Water System,Privately owned business (non-community),901 East Highway 246,Solvang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,2015
